title,visitId,name,persistentCart,timestamp
"Schedule a Service - Best Buy","9449c3cc-b521-4721-b51e-bfb3b63bce46","ABAGAM","True","2025-01-21 12:05:47"
"Remote Support: Geek Squad - Best Buy","d1b09f2f-0680-4cd5-b96c-f715745dd8b1","MANIDEEPBOYAPATI9","True","2025-01-21 08:32:56"
"Best Buy Top Deals","8a6d3dd9-3169-4403-aadc-a34de7c8c129","SASI2025","False","2025-01-21 15:41:35"
"Cart - Best Buy","e02cd83d-b2ae-470e-9043-f4d7c7d8c913","ANVITAD23","True","2025-01-21 00:00:23"
"Clearance Electronics Outlet - Best Buy","bf9df9a0-54fa-49f5-87cf-317365fd261f","NANDY_12","True","2025-01-21 11:13:45"
"Schedule a Service - Best Buy","74755953-4373-414b-baf2-408444275a63","SASI2025","True","2025-01-21 11:41:56"
"Best Buy | Official Online Store | Shop Now &amp; Save","1e4b4389-0eae-4e03-89bb-9820b23a3569","NANDY_12","True","2025-01-21 22:21:45"
"Track Your Repair - Best Buy","048314eb-1056-4892-92af-65a13fee9443","VIKATARI","False","2025-01-21 19:24:15"
"Cart - Best Buy","ef452dd3-b874-47e7-8759-878adc7b7bb4","SASI2025","True","2025-01-21 07:29:01"
"Best Buy Top Deals","8c4a4276-2f3c-48d9-9ed7-7bc238701674","ABAGAM","True","2025-01-21 20:19:00"
title,visitId,name,persistentCart,timestamp
"Track Your Repair - Best Buy","c3394849-d681-4714-892b-e60c04d78e3d","ABAGAM","True","2025-01-21 14:22:47"
"Clearance Electronics Outlet - Best Buy","9ae734d0-f5b0-4f78-830f-2e7416380a32","VIJAYCHIMATA","True","2025-01-21 06:13:54"
"Best Buy | Official Online Store | Shop Now &amp; Save","d80b16b5-96ba-4e96-aa3d-8ffc586f6cb4","THOTARAVANA3","True","2025-01-21 07:19:37"
"Best Buy | Official Online Store | Shop Now &amp; Save","099386b0-0750-464c-9e48-2cb1018aa74f","SASI2025","False","2025-01-21 04:42:19"
"Remote Support: Geek Squad - Best Buy","c8f0d67a-b58a-489d-8dc6-c9e4e03eed10","NAGALAKSHMI529","True","2025-01-21 12:00:32"
"Schedule a Service - Best Buy","6787a495-b887-4e27-92e5-d9c56bda894c","MANIDEEPBOYAPATI9","True","2025-01-21 10:28:46"
"Clearance Electronics Outlet - Best Buy","25be5679-c73e-47ad-97e2-65b6d2f8c3d6","BHAVANA916","False","2025-01-21 06:16:32"
"Remote Support: Geek Squad - Best Buy","b958ac15-ca4d-4a50-a291-7bdeaed2bbdf","NAGALAKSHMI529","True","2025-01-21 01:40:18"
"Best Buy Top Deals","80408be6-cd15-4750-a4d7-d781b7f96c75","SRIKANTHPITTA18","False","2025-01-21 04:17:31"
"Remote Support: Geek Squad - Best Buy","e7fbf7a7-6d54-4d6c-9227-d9411dc004fe","ANVITAD23","False","2025-01-21 21:04:57"
"Deal of the Day: Electronics Deals - Best Buy","c9296905-cac0-4110-93e4-672c15e85042","RTUMMALA999","True","2025-01-21 13:02:43"
"Clearance Electronics Outlet - Best Buy","f1ce4773-a413-4f66-ac64-b31d327c194b","ANVITAD23","True","2025-01-21 03:36:21"
"Remote Support: Geek Squad - Best Buy","eb5928dd-05ac-4872-8777-d1023243aa6e","MANIDEEPBOYAPATI9","False","2025-01-21 17:33:40"
"Best Buy | Official Online Store | Shop Now &amp; Save","dd5d4fa7-64ed-4fe7-aa71-6b9c28444b6a","NANDY_12","False","2025-01-21 15:49:44"
