title,visitId,name,persistentCart,timestamp,Sys_date
Schedule a Service - Best Buy,9449c3cc-b521-4721-b51e-bfb3b63bce46,ABAGAM,True,01/21/2025 12:05:47,01/21/2025
Remote Support: Geek Squad - Best Buy,d1b09f2f-0680-4cd5-b96c-f715745dd8b1,MANIDEEPBOYAPATI9,True,01/21/2025 08:32:56,01/21/2025
Best Buy Top Deals,8a6d3dd9-3169-4403-aadc-a34de7c8c129,SASI2025,False,01/21/2025 15:41:35,01/21/2025
Cart - Best Buy,e02cd83d-b2ae-470e-9043-f4d7c7d8c913,ANVITAD23,True,01/21/2025 00:00:23,01/21/2025
Clearance Electronics Outlet - Best Buy,bf9df9a0-54fa-49f5-87cf-317365fd261f,NANDY_12,True,01/21/2025 11:13:45,01/21/2025
Schedule a Service - Best Buy,74755953-4373-414b-baf2-408444275a63,SASI2025,True,01/21/2025 11:41:56,01/21/2025
Best Buy | Official Online Store | Shop Now &amp; Save,1e4b4389-0eae-4e03-89bb-9820b23a3569,NANDY_12,True,01/21/2025 22:21:45,01/21/2025
Track Your Repair - Best Buy,048314eb-1056-4892-92af-65a13fee9443,VIKATARI,False,01/21/2025 19:24:15,01/21/2025
Cart - Best Buy,ef452dd3-b874-47e7-8759-878adc7b7bb4,SASI2025,True,01/21/2025 07:29:01,01/21/2025
Best Buy Top Deals,8c4a4276-2f3c-48d9-9ed7-7bc238701674,ABAGAM,True,01/21/2025 20:19:00,01/21/2025
title,visitId,name,persistentCart,,
Track Your Repair - Best Buy,c3394849-d681-4714-892b-e60c04d78e3d,ABAGAM,True,01/21/2025 14:22:47,01/21/2025
Clearance Electronics Outlet - Best Buy,9ae734d0-f5b0-4f78-830f-2e7416380a32,VIJAYCHIMATA,True,01/21/2025 06:13:54,01/21/2025
Best Buy | Official Online Store | Shop Now &amp; Save,d80b16b5-96ba-4e96-aa3d-8ffc586f6cb4,THOTARAVANA3,True,01/21/2025 07:19:37,01/21/2025
Best Buy | Official Online Store | Shop Now &amp; Save,099386b0-0750-464c-9e48-2cb1018aa74f,SASI2025,False,01/21/2025 04:42:19,01/21/2025
Remote Support: Geek Squad - Best Buy,c8f0d67a-b58a-489d-8dc6-c9e4e03eed10,NAGALAKSHMI529,True,01/21/2025 12:00:32,01/21/2025
Schedule a Service - Best Buy,6787a495-b887-4e27-92e5-d9c56bda894c,MANIDEEPBOYAPATI9,True,01/21/2025 10:28:46,01/21/2025
Clearance Electronics Outlet - Best Buy,25be5679-c73e-47ad-97e2-65b6d2f8c3d6,BHAVANA916,False,01/21/2025 06:16:32,01/21/2025
Remote Support: Geek Squad - Best Buy,b958ac15-ca4d-4a50-a291-7bdeaed2bbdf,NAGALAKSHMI529,True,01/21/2025 01:40:18,01/21/2025
Best Buy Top Deals,80408be6-cd15-4750-a4d7-d781b7f96c75,SRIKANTHPITTA18,False,01/21/2025 04:17:31,01/21/2025
Remote Support: Geek Squad - Best Buy,e7fbf7a7-6d54-4d6c-9227-d9411dc004fe,ANVITAD23,False,01/21/2025 21:04:57,01/21/2025
Deal of the Day: Electronics Deals - Best Buy,c9296905-cac0-4110-93e4-672c15e85042,RTUMMALA999,True,01/21/2025 13:02:43,01/21/2025
Clearance Electronics Outlet - Best Buy,f1ce4773-a413-4f66-ac64-b31d327c194b,ANVITAD23,True,01/21/2025 03:36:21,01/21/2025
Remote Support: Geek Squad - Best Buy,eb5928dd-05ac-4872-8777-d1023243aa6e,MANIDEEPBOYAPATI9,False,01/21/2025 17:33:40,01/21/2025
Best Buy | Official Online Store | Shop Now &amp; Save,dd5d4fa7-64ed-4fe7-aa71-6b9c28444b6a,NANDY_12,False,01/21/2025 15:49:44,01/21/2025
Cart - Best Buy,8c46a52d-b65e-43ff-b4c6-7eef3e325ee8,VIJAYCHIMATA,True,01/21/2025 23:26:15,01/21/2025
Cart - Best Buy,990075aa-5e7e-412a-8c82-ecbdc4920d55,VIKATARI,False,01/21/2025 11:44:56,01/21/2025
Clearance Electronics Outlet - Best Buy,3e29db8b-6a3f-4e16-9678-86ec9e308ddf,ANVITAD23,True,01/21/2025 03:08:35,01/21/2025
Member Deals - Best Buy,4706e780-51a7-434c-be2c-74782fa725b7,SRIKANTHPITTA18,False,01/21/2025 01:45:25,01/21/2025
Best Buy Top Deals,51f97d85-0088-417f-8c60-05074554c20d,SASI2025,True,01/21/2025 06:12:16,01/21/2025
Member Deals - Best Buy,3e37a29a-668d-4256-b43d-af05a8645808,ANVITAD23,False,01/21/2025 09:07:09,01/21/2025
Best Buy Top Deals,b560ee59-01be-4d8d-a6fd-ccf8a712853b,VIKATARI,True,01/21/2025 16:41:37,01/21/2025
Clearance Electronics Outlet - Best Buy,42a24baa-2e30-44a6-b32f-20497d65895e,NANDY_12,False,01/21/2025 01:30:33,01/21/2025
Track Your Repair - Best Buy,1c1a8d24-76cb-404e-9880-f5f7f9408661,ABAGAM,True,01/21/2025 05:40:12,01/21/2025
Track Your Repair - Best Buy,61631c92-f9e6-4f43-85f0-aba0f9eb5a39,SHIVA005_ARCH,False,01/21/2025 19:31:43,01/21/2025
Track Your Repair - Best Buy,15b5be71-d0f5-4b9c-8e82-568b2b6a9391,MANIDEEPBOYAPATI9,True,01/21/2025 20:47:27,01/21/2025
Clearance Electronics Outlet - Best Buy,7fb45963-e37c-493e-9a94-1b108c11cc14,NANDY_12,True,01/21/2025 12:34:05,01/21/2025
Best Buy | Official Online Store | Shop Now &amp; Save,3166ac57-7fc1-4727-89e6-f1331cd79335,ABAGAM,False,01/21/2025 19:51:40,01/21/2025
Best Buy Top Deals,6f00366d-3531-4103-8de1-b43debb00ed5,ABAGAM,False,01/21/2025 06:52:15,01/21/2025
Member Deals - Best Buy,700e1407-46b3-4ccd-9437-407a3647393e,AMRUTHABOYAPATI,True,01/21/2025 11:50:04,01/21/2025
Cart - Best Buy,3593981b-596a-48ca-8bf1-924f0d438026,ABAGAM,False,01/21/2025 21:17:54,01/21/2025
Best Buy Support & Customer Service,29ff86d3-f38e-411f-bf32-dadfee6d3c7c,MANIDEEPBOYAPATI9,False,01/21/2025 05:13:22,01/21/2025
Track Your Repair - Best Buy,7fc54bb1-910c-4aa4-b15c-61899309ed9f,SASI2025,True,01/21/2025 21:56:14,01/21/2025
Best Buy Top Deals,790bb262-e9e2-4f54-94d0-ebcc632cb870,SRIBIGDATA24,True,01/21/2025 07:36:58,01/21/2025
Member Deals - Best Buy,c2802435-e48b-4b86-9402-da530c0c9510,THOTARAVANA3,False,01/21/2025 15:14:35,01/21/2025
Remote Support: Geek Squad - Best Buy,73dd153c-32d6-49d6-99d7-fd96b796cc4c,SRIKANTHPITTA18,True,01/21/2025 14:16:38,01/21/2025
Best Buy Top Deals,dc46c0b9-0e65-44a7-889d-f6d8501c110b,ABAGAM,True,01/21/2025 11:46:27,01/21/2025
